,Wind,Clouds,Humidity,Country,Data,Temperture,Latitude,Longitude,City
0,4.14,0,58,RU,1603130784,50.94,42.43,130.64,boa vista
1,16.11,20,51,ES,1603130784,84.2,28.66,-17.92,boa vista
2,5.82,15,94,CK,1603130726,75.2,-21.21,-159.78,boa vista
3,5.68,79,85,IN,1603130784,75.87,19.62,75.8,boa vista
4,14.88,0,79,PF,1603130784,73.83,-23.12,-134.97,boa vista
5,4.14,97,86,KE,1603130785,61.09,0.27,36.54,boa vista
6,10.29,20,88,TO,1603130344,68.0,-21.2,-175.2,boa vista
7,4.7,90,67,US,1603130457,61.0,41.37,-73.41,boa vista
8,6.93,20,70,MX,1603130734,86.0,15.85,-97.07,boa vista
9,34.45,75,86,AR,1603130276,39.2,-54.8,-68.3,boa vista
10,24.16,40,65,BR,1603130313,77.0,-22.97,-42.03,boa vista
11,5.61,43,50,SY,1603130569,67.93,35.3,37.18,boa vista
12,5.82,75,70,CL,1603130561,50.0,-45.58,-72.07,boa vista
13,11.41,40,69,MU,1603130345,75.2,-20.34,57.76,boa vista
14,2.01,1,36,US,1603130345,60.8,40.42,-120.65,boa vista
15,9.71,0,69,AU,1603130566,55.99,-33.65,115.33,boa vista
16,9.78,0,12,ML,1603130606,90.68,20.2,1.01,boa vista
17,8.57,39,82,GW,1603130582,83.82,11.28,-15.83,boa vista
18,14.99,20,86,GL,1603130570,33.8,65.61,-37.64,boa vista
19,8.01,42,64,HK,1603130346,73.0,22.29,114.16,boa vista
20,6.93,75,77,NO,1603130346,37.4,70.86,29.09,boa vista
21,17.22,90,77,AU,1603130347,68.0,-24.87,113.63,boa vista
22,5.73,97,98,CA,1603130608,21.85,69.45,-133.04,boa vista
23,8.05,20,55,ZA,1603130445,61.0,-33.93,18.42,boa vista
24,4.63,100,91,CA,1603130787,57.99,45.62,-62.0,boa vista
25,3.0,90,94,CA,1603130787,26.01,62.46,-114.35,boa vista
26,3.36,29,63,IT,1603130787,44.01,46.62,10.7,boa vista
27,7.78,100,62,BR,1603130788,78.8,-17.71,-39.25,boa vista
28,6.93,75,88,US,1603130788,77.0,22.08,-159.32,boa vista
29,4.7,90,100,US,1603130695,51.01,42.1,-79.24,boa vista
30,7.27,85,70,US,1603130788,61.0,42.6,-73.97,boa vista
31,3.71,31,70,ID,1603130789,78.4,-0.95,100.35,boa vista
32,11.41,6,31,MR,1603130584,91.4,20.93,-17.03,boa vista
33,38.03,20,52,CL,1603130572,46.4,-53.15,-70.92,boa vista
34,5.12,87,97,RU,1603130348,20.89,71.92,114.08,boa vista
35,10.25,75,85,GH,1603130789,78.39,4.88,-1.76,boa vista
36,11.41,40,69,MU,1603130789,75.2,-20.41,57.7,boa vista
37,10.29,90,85,US,1603130349,21.2,71.29,-156.79,boa vista
38,9.17,90,83,US,1603130349,73.4,19.73,-155.09,boa vista
39,9.69,99,46,RU,1603130790,51.73,54.79,65.99,boa vista
40,2.3,89,91,ID,1603130790,74.62,-8.35,113.61,boa vista
41,15.99,70,70,NZ,1603130790,48.0,-46.19,168.86,boa vista
42,5.82,40,87,AU,1603130725,44.6,-42.88,147.33,boa vista
43,6.35,90,87,US,1603130564,57.0,42.25,-75.83,boa vista
44,3.4,46,85,IT,1603130790,54.0,44.9,8.21,boa vista
45,21.32,55,50,BR,1603130791,89.74,-2.9,-40.84,boa vista
46,2.42,100,88,RU,1603130791,14.77,67.8,130.41,boa vista
